# z  nz0 nz1 nz2 nz3 nz4
5.000000000000000104e-03 1.335063241418652743e-05 1.295771632833296906e-05 9.223728781076354508e-06 2.477003369509762050e-05 2.453020531069314852e+07
1.499999999999999944e-02 7.883854959907723873e-04 1.862989734716629232e-04 4.154467645055903371e-05 1.096710668711100770e-04 5.568364812048191577e+07
2.500000000000000139e-02 1.607476819015587815e-03 2.936541388291565220e-04 7.369631279168218404e-05 2.068646115028387796e-04 4.751809597389964759e+07
3.500000000000000333e-02 2.312284755204012561e-03 4.144338930873886777e-04 1.108875636021594736e-04 2.846817038127294583e-04 2.807234626164824888e+07
4.499999999999999833e-02 3.028549093739751376e-03 5.702220794267736466e-04 1.461295458184343372e-04 3.339226429753344391e-04 3.798284708234948665e+07
5.500000000000000028e-02 4.901270712010971989e-03 9.307101381147303305e-04 2.206806952550310181e-04 4.084032639589064897e-04 4.309482728126756102e+07
6.500000000000000222e-02 1.103130129713022177e-02 1.458865777916251759e-03 3.328063616260438866e-04 5.212751060315115592e-04 4.505608125739772618e+07
7.500000000000001110e-02 1.200281150703813408e-02 1.727382000509991317e-03 3.943046580799130976e-04 5.318501475521702961e-04 6.137804150885671377e+07
8.499999999999999223e-02 1.189775418764548245e-02 1.753108133608097859e-03 4.296483513243625906e-04 5.074430177496577548e-04 7.054539182178005576e+07
9.500000000000000111e-02 1.210289177922633554e-02 1.733801389713311410e-03 4.593441016972328139e-04 4.893466078530198582e-04 1.042354264864148200e+08
1.050000000000000100e-01 1.359093731819138555e-02 1.839724413235793721e-03 4.937508341921077997e-04 4.812594577202265159e-04 1.411395344112360179e+08
1.149999999999999911e-01 1.645944292120292071e-02 2.072136782791751154e-03 5.395596970420420352e-04 4.716556277528915217e-04 1.303540776222173870e+08
1.250000000000000000e-01 1.759807716244836395e-02 2.171660804379553587e-03 5.717553367465193041e-04 4.587570857670288538e-04 8.221158897152455151e+07
1.350000000000000089e-01 1.774046064029816475e-02 2.154950809568637483e-03 5.969010561883154441e-04 4.475921046188356418e-04 6.930705728384317458e+07
1.450000000000000178e-01 1.834076105589210748e-02 2.233104984523877866e-03 6.326645862686289257e-04 4.906105998036329159e-04 7.107493522221803665e+07
1.549999999999999989e-01 2.038097548026951075e-02 3.174133527236957207e-03 7.845711217074231858e-04 6.424220810160449161e-04 8.592746439926224947e+07
1.650000000000000078e-01 2.384495975263337120e-02 4.816964403314513699e-03 1.037224353400754409e-03 8.896596455280313120e-04 1.130145824150574952e+08
