Model/Dataset,Omega_m,h,Omega_K,w_or_w0,w_a
**$\Lambda\text{CDM}$**,,,,,
&nbsp;&nbsp;&nbsp;&nbsp;SO (Primaries),$0.317 \pm 0.023$,$0.673 \pm 0.018$,—,—,—
&nbsp;&nbsp;&nbsp;&nbsp;SO + DESI Photometric (Lensing Ratios),$0.317 \pm 0.028$,$0.672 \pm 0.099$,—,—,—
&nbsp;&nbsp;&nbsp;&nbsp;SO + DESI Photometric (Primaries + Lensing Ratios),$0.3166 \pm 0.0087$,$0.6727 \pm 0.0066$,—,—,—
&nbsp;&nbsp;&nbsp;&nbsp;SO + DESI Photometric (Full Spectra),$0.3166 \pm 0.0061$,$0.6727 \pm 0.0046$,—,—,—
&nbsp;&nbsp;&nbsp;&nbsp;DESI + CMB (DESI DR2),$0.3027 \pm 0.0036$,$0.6817 \pm 0.0028$,—,—,—
**$\Lambda\text{CDM} + \Omega_K$**,,,,,
&nbsp;&nbsp;&nbsp;&nbsp;SO (Primaries),$0.319^{+0.095}_{-0.11}$,$0.69 \pm 0.10$,$0.002 \pm 0.014$,$-$,$-$
&nbsp;&nbsp;&nbsp;&nbsp;SO + DESI Photometric (Lensing Ratios),$0.317 \pm 0.030$,$0.685 \pm 0.081$,$0.003 \pm 0.043$,$-$,$-$
&nbsp;&nbsp;&nbsp;&nbsp;SO + DESI Photometric (Primaries + Lensing Ratios),$0.317 \pm 0.016$,$0.685 \pm 0.018$,$0.0023 \pm 0.0044$,$-$,$-$
&nbsp;&nbsp;&nbsp;&nbsp;DESI + CMB (DESI DR2),$0.3034 \pm 0.0037$,$0.6850 \pm 0.0033$,$0.0023 \pm 0.0011$,—,—
**$w\text{CDM}$**,,,,,
&nbsp;&nbsp;&nbsp;&nbsp;SO (Primares),$0.3165 \pm 0.0030$,$0.6951 \pm 0.0038$,$-$,$-1.055 \pm 0.027$,$-$
&nbsp;&nbsp;&nbsp;&nbsp;SO + DESI Photometric (Lensing Ratios),$0.317 \pm 0.026$,$0.695 \pm 0.065$,$-$,$-1.05 \pm 0.31$,$-$
&nbsp;&nbsp;&nbsp;&nbsp;SO + DESI Photometric (Primaries + Lensing Ratios),$0.3165 \pm 0.0030$,$0.6951 \pm 0.0034$,$-$,$-1.055 \pm 0.021$,$-$
&nbsp;&nbsp;&nbsp;&nbsp;DESI + CMB (DESI DR2),$0.2927 \pm 0.0073$,$0.6951 \pm 0.0092$,—,$-1.055 \pm 0.036$,—
**$w_0w_a\text{CDM}$**,,,,,
&nbsp;&nbsp;&nbsp;&nbsp;SO (Primaries),$0.317 \pm 0.017$,$0.667 \pm 0.017$,$-$,$-0.75 \pm 0.15$,$-0.86 \pm 0.65$
&nbsp;&nbsp;&nbsp;&nbsp;SO + DESI Photometric (Lensing Ratios),$0.317 \pm 0.024$,$0.667 \pm 0.075$,$-$,$-0.75 \pm 0.40$,$-0.90 \pm 1.1$
&nbsp;&nbsp;&nbsp;&nbsp;SO + DESI Photometric (Primaries + Lensing Ratios),$0.317 \pm 0.013$,$0.667 \pm 0.013$,$-$,$-0.75 \pm 0.13$,$-0.86 \pm 0.52$
&nbsp;&nbsp;&nbsp;&nbsp;DESI + CMB + DESY5 (DESI DR2),$0.3191 \pm 0.0056$,$0.6674 \pm 0.0056$,—,$-0.752 \pm 0.057$,$-0.86^{+0.23}_{-0.20}$
**$w_0w_a\text{CDM} + \Omega_K$**,,,,,
&nbsp;&nbsp;&nbsp;&nbsp;SO (Primaries),$< 0.638$,$0.67 \pm 0.80$,$0.001 \pm 0.036$,$-0.8 \pm 4.6$,$-0.8 \pm 9.9$
&nbsp;&nbsp;&nbsp;&nbsp;SO + DESI Photometric (Lensing Ratios),$0.316 \pm 0.024$,$0.668 \pm 0.063$,$0.001 \pm 0.044$,$-0.76 \pm 0.43$,$-0.8 \pm 1.3$
&nbsp;&nbsp;&nbsp;&nbsp;SO + DESI Photometric (Primaries + Lensing Ratios),$0.317 \pm 0.022$,$0.668 \pm 0.024$,$0.0008 \pm 0.0069$,$-0.76 \pm 0.36$,$-0.8 \pm 1.0$
&nbsp;&nbsp;&nbsp;&nbsp;DESI + CMB + DESY5 (DESI DR2),$0.3193 \pm 0.0056$,$0.6682 \pm 0.0058$,$0.0008 \pm 0.0013$,$-0.762 \pm 0.060$,$—0.81 \pm 0.24$
